时间,测试图片路径,缺陷数量
2026-02-19 10:09:13,_temp_test.jpg,9
2026-02-19 10:09:14,_temp_test.jpg,9
2026-02-19 10:09:15,_temp_test.jpg,10
2026-02-19 10:18:49,temp_test.jpg,18
2026-02-19 10:18:50,temp_test.jpg,7
2026-02-19 10:18:51,temp_test.jpg,6
2026-02-19 10:18:52,temp_test.jpg,2
2026-02-19 10:18:53,temp_test.jpg,7
2026-02-19 10:18:54,temp_test.jpg,13
2026-02-19 10:18:55,temp_test.jpg,14
2026-02-19 10:18:56,temp_test.jpg,12
2026-02-19 10:18:57,temp_test.jpg,14
2026-02-19 10:18:58,temp_test.jpg,17
2026-02-19 10:18:59,temp_test.jpg,9
2026-02-19 10:19:00,temp_test.jpg,7
2026-02-19 10:19:01,temp_test.jpg,7
2026-02-19 10:19:02,temp_test.jpg,18
2026-02-19 10:19:03,temp_test.jpg,4
2026-02-19 10:19:04,temp_test.jpg,7
2026-02-19 10:19:05,temp_test.jpg,7
2026-02-19 10:19:06,temp_test.jpg,12
2026-02-19 10:19:07,temp_test.jpg,8
2026-02-19 10:19:08,temp_test.jpg,6
2026-02-19 10:19:09,temp_test.jpg,5
2026-02-19 10:19:10,temp_test.jpg,13
2026-02-19 10:19:11,temp_test.jpg,14
2026-02-19 10:19:12,temp_test.jpg,12
2026-02-19 10:19:13,temp_test.jpg,13
2026-02-19 10:25:31,temp_test.jpg,11
2026-02-19 10:25:31,temp_test.jpg,6
2026-02-19 10:25:32,temp_test.jpg,3
2026-02-19 10:25:33,temp_test.jpg,8
2026-02-19 10:25:34,temp_test.jpg,1
2026-02-19 10:25:35,temp_test.jpg,11
2026-02-19 10:25:36,temp_test.jpg,8
2026-02-19 10:25:37,temp_test.jpg,10
2026-02-19 10:25:39,temp_test.jpg,7
2026-02-19 10:25:40,temp_test.jpg,1
2026-02-19 10:25:41,temp_test.jpg,5
2026-02-19 10:25:42,temp_test.jpg,1
2026-02-19 10:25:43,temp_test.jpg,7
2026-02-19 10:25:44,temp_test.jpg,4
2026-02-19 10:25:45,temp_test.jpg,7
2026-02-19 10:25:46,temp_test.jpg,8
2026-02-19 10:25:47,temp_test.jpg,13
2026-02-19 10:25:48,temp_test.jpg,6
2026-02-19 10:27:31,temp_test.jpg,8
2026-02-19 10:27:32,temp_test.jpg,7
2026-02-19 10:27:33,temp_test.jpg,2
2026-02-19 10:27:34,temp_test.jpg,8
2026-02-19 10:27:35,temp_test.jpg,1
2026-02-19 10:27:36,temp_test.jpg,12
2026-02-19 10:27:37,temp_test.jpg,5
2026-02-19 10:27:38,temp_test.jpg,6
2026-02-19 10:27:39,temp_test.jpg,8
2026-02-19 10:27:40,temp_test.jpg,2
2026-02-19 10:27:41,temp_test.jpg,6
2026-02-19 10:27:42,temp_test.jpg,7
2026-02-19 10:27:43,temp_test.jpg,1
2026-02-19 10:27:44,temp_test.jpg,15
2026-02-19 10:27:45,temp_test.jpg,14
2026-02-19 10:27:46,temp_test.jpg,15
2026-02-19 10:27:48,temp_test.jpg,7
2026-02-19 10:29:24,temp_test.jpg,12
2026-02-19 10:29:25,temp_test.jpg,2
2026-02-19 10:29:26,temp_test.jpg,5
2026-02-19 10:29:27,temp_test.jpg,8
2026-02-19 10:29:28,temp_test.jpg,6
2026-02-19 10:29:29,temp_test.jpg,5
2026-02-19 10:29:30,temp_test.jpg,11
2026-02-19 10:29:31,temp_test.jpg,11
2026-02-19 10:29:32,temp_test.jpg,5
2026-02-19 10:29:33,temp_test.jpg,1
2026-02-19 10:34:32,temp_test.jpg,11
2026-02-19 10:34:33,temp_test.jpg,16
2026-02-19 10:34:34,temp_test.jpg,7
2026-02-19 10:34:35,temp_test.jpg,10
2026-02-19 10:34:36,temp_test.jpg,4
2026-02-19 10:34:37,temp_test.jpg,12
2026-02-19 10:34:38,temp_test.jpg,9
2026-02-19 10:34:39,temp_test.jpg,18
2026-02-19 10:34:45,temp_test.jpg,13
2026-02-19 10:34:46,temp_test.jpg,9
2026-02-19 10:34:47,temp_test.jpg,12
2026-02-19 10:34:48,temp_test.jpg,8
2026-02-19 10:34:49,temp_test.jpg,7
2026-02-19 10:34:50,temp_test.jpg,10
2026-02-19 10:34:51,temp_test.jpg,9
2026-02-19 10:36:55,temp_test.jpg,1
2026-02-19 10:36:55,temp_test.jpg,8
2026-02-19 10:36:56,temp_test.jpg,5
2026-02-19 10:36:57,temp_test.jpg,3
2026-02-19 10:36:58,temp_test.jpg,8
2026-02-19 10:36:59,temp_test.jpg,2
2026-02-19 10:37:00,temp_test.jpg,15
2026-02-19 10:37:01,temp_test.jpg,7
